,x,y,dias,fecha_inicial,fecha
0,0.2232142857142873,4.0,3.303258694020539,2010-09-11,2010-09-14 07:16:41.551163371
1,0.4464285714285738,44.0,6.606517388041066,2010-09-11,2010-09-17 14:33:23.102326751
2,0.6696428571428594,26.0,9.90977608206158,2010-09-11,2010-09-20 21:50:04.653490122
3,0.915178571428573,14.0,13.543360645484135,2010-09-11,2010-09-24 13:02:26.359769826
4,1.138392857142859,30.0,16.846619339504656,2010-09-11,2010-09-27 20:19:07.910933206
5,1.3616071428571446,41.0,20.14987803352517,2010-09-11,2010-10-01 03:35:49.462096577
6,1.5848214285714302,124.0,23.453136727545683,2010-09-11,2010-10-04 10:52:31.013259948
7,1.8303571428571448,58.0,27.086721290968256,2010-09-11,2010-10-08 02:04:52.719539661
8,2.0535714285714306,160.0,30.389979984988774,2010-09-11,2010-10-11 09:21:34.270703032
9,2.276785714285716,123.0,33.69323867900928,2010-09-11,2010-10-14 16:38:15.821866403
10,2.5000000000000013,67.0,36.99649737302979,2010-09-11,2010-10-17 23:54:57.373029774
11,2.745535714285716,39.0,40.63008193645237,2010-09-11,2010-10-21 15:07:19.079309487
12,2.9687500000000013,16.0,43.93334063047288,2010-09-11,2010-10-24 22:24:00.630472858
13,3.191964285714288,8.0,47.236599324493405,2010-09-11,2010-10-28 05:40:42.181636229
14,3.415178571428573,1.0,50.53985801851391,2010-09-11,2010-10-31 12:57:23.732799600
15,3.6383928571428585,0.0,53.843116712534425,2010-09-11,2010-11-03 20:14:05.283962972
16,3.6383928571428585,0.0,53.843116712534425,2010-09-11,2010-11-03 20:14:05.283962972
17,3.861607142857144,0.0,57.14637540655494,2010-09-11,2010-11-07 03:30:46.835126343
18,4.1071428571428585,0.0,60.779959969977504,2010-09-11,2010-11-10 18:43:08.541406055
19,4.330357142857144,0.0,64.08321866399803,2010-09-11,2010-11-14 01:59:50.092569427
20,4.55357142857143,20.0,67.38647735801854,2010-09-11,2010-11-17 09:16:31.643732798
21,4.776785714285715,45.0,70.68973605203905,2010-09-11,2010-11-20 16:33:13.194896178
22,5.022321428571429,146.0,74.3233206154616,2010-09-11,2010-11-24 07:45:34.901175882
23,5.267857142857144,271.0,77.95690517888418,2010-09-11,2010-11-27 22:57:56.607455594
24,5.491071428571429,500.0,81.26016387290468,2010-09-11,2010-12-01 06:14:38.158618966
25,5.714285714285715,133.0,84.56342256692521,2010-09-11,2010-12-04 13:31:19.709782337
26,5.9375,312.0,87.86668126094571,2010-09-11,2010-12-07 20:48:01.260945708
27,6.160714285714287,80.0,91.16993995496625,2010-09-11,2010-12-11 04:04:42.812109088
28,6.383928571428571,64.0,94.47319864898674,2010-09-11,2010-12-14 11:21:24.363272450
29,6.607142857142858,17.0,97.77645734300727,2010-09-11,2010-12-17 18:38:05.914435830
30,6.852678571428571,1.0,101.41004190642983,2010-09-11,2010-12-21 09:50:27.620715534
31,7.075892857142858,0.0,104.71330060045035,2010-09-11,2010-12-24 17:07:09.171878914
32,7.299107142857142,0.0,108.01655929447085,2010-09-11,2010-12-28 00:23:50.723042285
33,7.522321428571429,1.0,111.31981798849138,2010-09-11,2010-12-31 07:40:32.274205656
34,7.767857142857142,4.0,114.95340255191392,2010-09-11,2011-01-03 22:52:53.980485360
35,7.991071428571429,22.0,118.25666124593445,2010-09-11,2011-01-07 06:09:35.531648740
36,8.214285714285715,51.0,121.55991993995498,2010-09-11,2011-01-10 13:26:17.082812112
37,8.4375,127.0,124.86317863397548,2010-09-11,2011-01-13 20:42:58.633975483
38,8.660714285714288,207.0,128.16643732799605,2010-09-11,2011-01-17 03:59:40.185138863
39,8.90625,119.0,131.80002189141857,2010-09-11,2011-01-20 19:12:01.891418567
40,9.129464285714286,36.0,135.10328058543908,2010-09-11,2011-01-24 02:28:43.442581938
41,9.375,30.0,138.73686514886165,2010-09-11,2011-01-27 17:41:05.148861650
42,9.575892857142858,23.0,141.7097979734801,2010-09-11,2011-01-30 17:02:06.544908680
43,9.821428571428571,17.0,145.34338253690268,2010-09-11,2011-02-03 08:14:28.251188393
44,10.044642857142858,6.0,148.6466412309232,2010-09-11,2011-02-06 15:31:09.802351764
45,10.267857142857142,0.0,151.9498999249437,2010-09-11,2011-02-09 22:47:51.353515135
46,10.513392857142858,28.0,155.58348448836628,2010-09-11,2011-02-13 14:00:13.059794848
47,10.714285714285715,45.0,158.55641731298476,2010-09-11,2011-02-16 13:21:14.455841886
48,10.714285714285715,45.0,158.55641731298476,2010-09-11,2011-02-16 13:21:14.455841886
49,10.959821428571429,104.0,162.1900018764073,2010-09-11,2011-02-20 04:33:36.162121590
50,11.183035714285714,154.0,165.49326057042782,2010-09-11,2011-02-23 11:50:17.713284961
51,11.42857142857143,15.0,169.12684513385042,2010-09-11,2011-02-27 03:02:39.419564674
